product_handle,product_title,color,power,variant_title,sku,price,available,image_folder,primary_image,image_count
v16-pop-up-outlet-with-light-65w-usb-c,V16: Pop Up Outlet with Light & 65W USB-C,Black,,,V16B-US,249.95,True,images/v16b-black-pop-up-outlet-with-light-65w-usb-c,images/v16b-black-pop-up-outlet-with-light-65w-usb-c/01-modern-power-web-v16b-us-primary-image.webp,9
v16-pop-up-outlet-with-light-65w-usb-c,V16: Pop Up Outlet with Light & 65W USB-C,Silver,,,V16S-US,249.95,True,images/v16s-silver-pop-up-outlet-with-light-and-65w-usb-c,images/v16s-silver-pop-up-outlet-with-light-and-65w-usb-c/01-modern-power-web-v16s-us-primary-image.webp,9
v15-quad-sided-pop-up-outlet-with-usb-and-qi,V15: Quad-Sided Pop Up Outlet with USB and Qi,Black,,,V15PWUB-US,149.95,True,images/v15-quad-sided-black-pop-up-outlet-with-usb-and-qi,images/v15-quad-sided-black-pop-up-outlet-with-usb-and-qi/01-modern-power-web-V15PWUB-US-primary-image-whitebg.webp,10
v15-quad-sided-pop-up-outlet-with-usb-and-qi,V15: Quad-Sided Pop Up Outlet with USB and Qi,White,,,V15PWUW-US,149.95,True,images/v15-white-pop-up-outlet-with-usb-and-qi,images/v15-white-pop-up-outlet-with-usb-and-qi/01-modern-power-web-V15PWUW-US-primary-image-whitebg.webp,8
v3c-motorized-pop-up-outlet-with-usb,V3C: Motorized Pop Up Outlet with USB,Black,,,V3C-US,249.95,True,images/v3c-motorized-pop-up-outlet-with-usb,images/v3c-motorized-pop-up-outlet-with-usb/01-modern-power-web-v3c-us-motorized-kitchen-popup-outlet-main-whitebg_fba732ca-c691-4dba-939d-8e19c30154f6.webp,5
v3c-motorized-pop-up-outlet-with-usb,V3C: Motorized Pop Up Outlet with USB,Silver,,,V3CS-US,249.95,True,images/v3cs-motorized-pop-up-outlet-with-usb,images/v3cs-motorized-pop-up-outlet-with-usb/01-modern-power-web-v3cs-us-motorized-kitchen-popup-outlet-main-whitebg.webp,5
v3c-motorized-pop-up-outlet-with-usb,V3C: Motorized Pop Up Outlet with USB,White,,,V3CW-US,249.95,True,images/v3cw-white-motorized-pop-up-outlet-with-usb,images/v3cw-white-motorized-pop-up-outlet-with-usb/01-modern-power-web-v3cw-us-motorized-kitchen-popup-outlet-main-whitebg.webp,5
point-pod-connect-kitchen-pop-up-outlet,Point Pod Connect Kitchen Counter Pop Up Outlet,Black,15W,,PPCV815B,589.00,True,images/point-pod-connect-black-pop-up-electrical-outlet,images/point-pod-connect-black-pop-up-electrical-outlet/01-modern-power-web-point-pod-connect-black-kitchen-outlet-main-whitebg.webp,5
point-pod-connect-kitchen-pop-up-outlet,Point Pod Connect Kitchen Counter Pop Up Outlet,Black,65W,,PPCV815PDB,679.00,True,images/point-pod-connect-black-pop-up-electrical-outlet,images/point-pod-connect-black-pop-up-electrical-outlet/01-modern-power-web-point-pod-connect-black-kitchen-outlet-main-whitebg.webp,5
point-pod-connect-kitchen-pop-up-outlet,Point Pod Connect Kitchen Counter Pop Up Outlet,Silver,15W,,PPCV815,589.00,True,images/point-pod-connect-silver-counter-pop-up-outlet,images/point-pod-connect-silver-counter-pop-up-outlet/01-modern-power-web-point-pod-connect-silver-kitchen-outlet-main-whitebg-ppcv815.webp,5
