product_id,product_handle,region,amperage,hole_size_mm,lift_type,usb_a,usb_c,wireless_charging,hdmi,rj45,light,spill_sealed
8121980551277,v16b-black-pop-up-outlet-with-light-65w-usb-c,US,15,100,gas-strut,yes,yes,yes,,,yes,
8119402397805,v16s-silver-pop-up-outlet-with-light-and-65w-usb-c,US,15,100,gas-strut,yes,yes,yes,,,yes,
8119309598829,v15-quad-sided-black-pop-up-outlet-with-usb-and-qi,US,15,80,gas-strut,yes,yes,yes,,,,
8061391700077,v14wb-white-quad-sided-pop-up-power-outlet,AU,,120,gas-strut,yes,yes,yes,,,,
8060124495981,v14jb-quad-sided-pop-up-power-outlet,AU,,120,gas-strut,yes,yes,yes,,,,
7699418546285,v3lw-white-motorised-pop-up-power-socket,AU,,65,motorised,yes,yes,yes,,,,yes
7696228319341,v15-white-pop-up-outlet-with-usb-and-qi,US,15,80,gas-strut,yes,yes,yes,,,,
7696220160109,v15-white-pop-up-outlet,US,15,80,gas-strut,yes,yes,yes,,,,
7643037466733,hubbell-tri-power-countertop-pop-up-receptacle,US,15,,manual/spring,yes,yes,yes,,,,yes
7640015667309,hubbell-dual-sided-pop-up-electrical-outlet,US,15,,manual/spring,,,,,,,yes
7629711573101,hole-saw-4-for-point-pod,US,,102,,,,,,,,
7629708460141,hole-saw-102mm-4-for-point-pod,AU,,102,,,,yes,,,,
7207887405165,v14b-hnr-black-quad-sided-pop-up-power-outlet-w-hdmi,,,,,yes,yes,yes,yes,yes,,
7195109720173,point-pod-boardroom-w-usb-rj45-hdmi,AU,,102,motorised,yes,yes,,yes,yes,,
7195109425261,point-pod-compact-black,AU,,102,motorised,,,,,,,
7195109392493,point-pod-compact-silver,AU,,102,motorised,,,,,,,
7195109228653,point-pod-compact-black-w-usb,AU,,102,motorised,yes,yes,,,,,
7195108966509,point-pod-compact-silver-w-usb,AU,,102,motorised,yes,yes,,,,,
7195108933741,point-pod-multi-black-w-usb,AU,,102,motorised,yes,yes,,,,,
7195108835437,point-pod-multi-silver-w-usb,AU,,102,motorised,yes,yes,,,,,
7195102838893,v8gsbo-compact-glossy-silver-black-pop-up-power-point,AU,,60,manual/spring,,,,,,,
7195102806125,v7gsw-glossy-silver-top-white-pop-up-power-outlet,AU,,80,manual/spring,yes,yes,,,,,
7195102740589,v7bssb-black-stainless-steel-black-pop-up-power-outlet,AU,,80,motorised,yes,yes,,,,,
7195102478445,v5wub-waterproof-black-pop-up-power-outlet,AU,,80,manual/spring,yes,yes,,,,,yes
7195052310637,v3l-motorised-pop-up-power-socket-1,AU,,65,motorised,yes,yes,yes,,,,yes
7194891780205,v3cw-motorised-pop-up-power-point-w-usb,AU,,95,motorised,yes,yes,yes,,,,yes
7194891452525,v3cs-motorised-pop-up-power-point-w-usb,AU,,95,motorised,yes,yes,yes,,,,yes
7183300821101,v7bssb-eu-stainless-steel-top-pop-up-power-socket,EU,,80,motorised,yes,yes,,,,,
7180970721389,v3c-motorised-pop-up-power-point-w-usbhome,AU,,95,motorised,yes,yes,yes,,,,yes
7180958597229,v2gsb-glossy-silver-top-black-face-pop-up-power-outlet,AU,,100,manual/spring,yes,yes,,,,,
7180951945325,v1sc-pop-up-power-outlet-silver,AU,,90,manual/spring,yes,yes,,,,,
7180914360429,v1bc-pop-up-power-outlet-black,AU,,90,manual/spring,yes,yes,,,,,
7169068400749,v14b-quad-sided-pop-up-power-socket-black,UK,,120,gas-strut,yes,yes,yes,,yes,,
7169068236909,v3cw-white-motorised-pop-up-socket,UK,,95,motorised,yes,yes,yes,,,,yes
7169068073069,v3cs-silver-motorised-pop-up-socket,UK,,95,motorised,yes,yes,yes,,,,yes
7169067909229,v3c-black-motorised-pop-up-socket,UK,,95,motorised,yes,yes,yes,,,,yes
7169067810925,v3l-motorised-pop-up-power-socket,UK,,65,motorised,yes,yes,yes,,,,yes
7169057259629,v1bc-pop-up-power-socket-black,UK,,90,manual/spring,yes,yes,,,,,
7158143746157,v3cs-motorized-pop-up-outlet-with-usb,US,15,,motorised,yes,yes,yes,,,,yes
7158144761965,v3cw-white-motorized-pop-up-outlet-with-usb,US,15,,motorised,yes,yes,yes,,,,yes
7157886287981,gfci-adapter,US,15,,,,,,,,,
7156682457197,v3c-motorized-pop-up-outlet-with-usb,US,15,,motorised,yes,yes,yes,,,,yes
7154321129581,point-pod-connect-black-pop-up-electrical-outlet,US,15,,motorised,yes,yes,,,,,
7146163011693,point-pod-connect-silver-counter-pop-up-outlet,US,15,,motorised,yes,yes,,,,,
